Designator,Mid X,Mid Y,Rotation,Layer
C1,201.5,-72.25,180.0,top
C2,174.0,-41.0,180.0,top
C3,174.0,-63.25,0.0,top
C4,173.0,-75.0,270.0,top
C5,201.5404,-65.024,0.0,top
D1,174.0,-49.75,0.0,top
D2,201.0,-42.0,180.0,top
D3,174.0,-66.25,0.0,top
D4,167.4,-75.75,180.0,top
FID1,200.0,-75.75,0.0,top
FID2,200.85,-34.85,0.0,top
FID3,165.0,-40.25,0.0,top
FL1,202.75,-48.8,90.0,top
J1,198.25,-35.25,270.0,top
J2,167.75,-78.45,90.0,top
J3,202.7,-57.0,0.0,top
Q1,174.0,-57.75,0.0,top
Q2,174.0,-71.75,0.0,top
R1,174.0,-51.25,0.0,top
R10,174.0,-64.75,180.0,top
R11,174.0,-61.75,180.0,top
R12,174.0,-69.25,180.0,top
R13,174.0,-67.75,180.0,top
R14,170.5,-75.75,0.0,top
R15,201.5363,-66.6075,180.0,top
R2,174.0,-53.75,180.0,top
R3,201.5,-69.0,0.0,top
R4,201.5,-70.5,0.0,top
R5,174.0,-55.25,0.0,top
R6,174.0,-60.25,180.0,top
R7,174.0,-42.5,0.0,top
R8,175.25,-75.75,180.0,top
R9,175.25,-74.25,0.0,top
U1,187.25,-58.5,270.0,top
